pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1773,RHIDP-2626,,chore: regen dynamic plugins and add migration tables too (RHIDP-2626),2026-02-09,0.2,2,7,573,298,871,2,634,460,1094,1965,3,0,0,1
1771,RHIDP-2626,,chore: improve rhdh-supported-plugins.sh to use overlays repo for catalog metadata,2026-02-09,0.3,3,7,162,301,463,2,516,535,1051,1514,1,0,0,3
1770,RHDHBUGS-2317,2,[release-1.9] RHDHBUGS-2317: Orchestrator workflows not listed when RBAC is enabled,2026-02-09,0.0,2,2,37,1,38,0,0,0,0,38,1,0,0,3
1769,RHDHBUGS-2317,2,[release-1.8] RHDHBUGS-2317: Orchestrator workflows not listed when RBAC is enabled,2026-02-09,0.0,2,2,37,1,38,0,0,0,0,38,1,0,0,3
1767,RHIDP-10991,5,[RHIDP#10991]: Document custom transformers for user provisioning,2026-04-02,52.3,7,9,323,5,328,0,0,0,0,328,4,0,0,20
1766,RHDHBUGS-942,3,RHDHBUGS-942 RBAC REST API DELETE request requires a JSON body,2026-02-10,1.2,5,2,23,4,27,0,0,0,0,27,1,0,0,15
1765,RHIDP-11447,2,RHIDP-11447: Conditional permissions for Scorecards,2026-02-16,7.3,5,1,45,8,53,0,0,0,0,53,0,0,0,5
1763,RHDHBUGS-2493,1,RHDHBUGS-2493: Harden language around Orchestrator/OSL compatibility,2026-02-10,3.8,10,1,8,2,10,0,0,0,0,10,0,0,0,2
1761,RHDHBUGS-2317,2,RHDHBUGS-2317: Orchestrator workflows not listed when RBAC is enabled,2026-02-09,3.0,8,2,37,1,38,0,0,0,0,38,1,0,0,3
1760,RHDHBUGS-2436,2,RHDHBUGS-2436: Document ArgoCD limitation with Helm's lookup function when deploying RHDH with Orchestrator using Helm,2026-02-10,4.2,11,1,35,3,38,0,0,0,0,38,0,0,0,6
1759,RHIDP-9999,,[release-1.9] RHIDP-9999: MCP 1.9 doc changes - new Software Catalog tools,2026-02-06,0.0,2,19,161,108,269,0,0,0,0,269,7,0,0,3
1758,RHDHBUGS-2536,3,[release-1.9] RHDHBUGS-2536 part 2 Typo Corrections,2026-02-06,1.0,2,20,34,34,68,0,0,0,0,68,0,0,0,6
1757,RHIDP-9079,8,RHIDP-9079 - Added service-to-service authentication for release-1.9,2026-02-05,0.0,2,7,334,0,334,2,1,0,1,335,5,0,1,1
1756,RHDHBUGS-2536,3,[release-1.9] RHDHBUGS-2536 part 1 Typo Corrections,2026-02-06,1.1,2,21,33,33,66,0,0,0,0,66,0,0,0,5
1755,RHIDP-10987,3,[release-1.9] RHIDP-10987 enabling auto-logout,2026-02-05,0.0,2,2,72,0,72,0,0,0,0,72,1,0,0,5
1754,RHDHBUGS-2410,2,[release-1.9] RHDHBUGS-2410 Added keycloak session support,2026-02-05,0.0,2,1,16,2,18,0,0,0,0,18,0,0,0,3
