pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1535,,,chore: fix sorting and regen supported plugin tables,2025-11-07,0.1,4,2,205,205,410,2,5,5,10,420,0,0,0,1
1534,RHIDP-8634,8,RHIDP-8634-3 - [feedback] Improve the documentation to help developers convert plugins to dynamic plugins,2025-11-10,3.1,3,2,5,3,8,0,0,0,0,8,0,0,0,7
1532,,,RHDHPAI-1087: Few changes to MCP client configuration,2025-11-10,2.7,6,3,9,76,85,0,0,0,0,85,0,0,0,2
1531,RHIDP-7564,8,[release-1.8] RHIDP-7564-1 - Support Pre-Configured RHDH Deployments in Operator,2025-11-07,0.0,1,3,80,0,80,0,0,0,0,80,1,0,0,9
1530,RHIDP-8631,5,[release-1.8] RHIDP-8631: bulk import with gitlab,2025-11-07,0.0,1,5,68,20,88,0,0,0,0,88,1,0,0,5
1529,RHIDP-8196,,[release-1.8] RHIDP-8196: Events Module configuration for GitHub,2025-11-07,0.0,1,3,108,0,108,0,0,0,0,108,2,0,0,31
1527,,,[release-1.8] RHDHPAI-1087: Updating title for OpenShift AI Connector for RHDH,2025-11-07,0.0,1,2,2,3,5,0,0,0,0,5,0,0,0,1
1526,,,RHDHPAI-1087: Updating title for OpenShift AI Connector for RHDH,2025-11-07,0.0,4,2,2,3,5,0,0,0,0,5,0,0,0,1
1525,,,[release-1.8] RHDHPAI-1089: RHOAI Model catalog bridge,2025-11-07,0.0,1,11,564,0,564,5,15,0,15,579,11,0,0,11
1524,RHIDP-7564,8,RHIDP-7564-1 - Support Pre-Configured RHDH Deployments in Operator,2025-11-07,0.6,4,3,80,0,80,0,0,0,0,80,1,0,0,10
1523,RHDHBUGS-2009,3,RHDHBUGS-2009: Orchestrator docs update,2025-11-10,3.5,4,4,22,12,34,0,0,0,0,34,1,0,0,5
1522,,,[release-1.8] Minor Fix-Customizable Table,2025-11-06,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1521,,,Minor Fix-Customizable Table,2025-11-06,0.0,4,1,1,1,2,0,0,0,0,2,0,0,0,1
1520,RHIDP-9035,1,[release-1.8] RHIDP-9035: Update the QuickAccess card icons on the Homepage,2025-11-06,0.0,1,2,105,1,106,0,0,0,0,106,1,0,0,5
1519,RHIDP-8622,5,"[release-1.8] RHIDP-8622: Removing ""Verified"" And Improving Transparency In The Extensions Catalog",2025-11-06,0.0,1,3,51,0,51,0,0,0,0,51,2,0,0,4
1517,RHIDP-2135,2,[release-1.8] RHIDP-2135: README update,2025-11-06,0.0,1,1,129,8,137,0,0,0,0,137,0,0,0,13
